0
amethyst_deceiver
bolete
chanterelle
chicken_of_the_woods
death_cap
false_chanterelle
false_morel
fibrecap
field_mushroom
fly_agaric
giant_puffball
grey_oyster
morel
orange_peel
roundhead
saddle
shaggy_inkcap
stinkhorn
waxcap
yellow_stainer
